Source,Target
IKZF1,SCML4
IKZF1,MEOX2
IKZF1,POU3F4
IKZF1,ZNF804B
IKZF1,ZFP1
IKZF1,RREB1
IKZF1,PITX1
IKZF1,POU2F3
IKZF1,ZFP42
IKZF1,NR2F6
IKZF1,ZNF583
IKZF1,MKX
IKZF1,TBX20
IKZF1,SHOX2
IKZF1,REPIN1
IKZF1,NFKB2
IKZF1,MYNN
IKZF1,PRDM15
IKZF1,NR5A2
IKZF1,LBX1
IKZF1,ZBTB24
IKZF1,ZNF705G
IKZF1,ZNF821
IKZF1,ZNF771
IKZF1,ZNF214
IKZF1,NFATC2
IKZF1,ZNF92
IKZF1,PATZ1
IKZF1,IRF6
IKZF1,ZSCAN20
IKZF1,ZNF324B
IKZF1,ZNF572
IKZF1,ZNF33B
IKZF1,NKX3-2
IKZF1,RAG1
IKZF1,ZNF782
IKZF1,ZKSCAN3
IKZF1,SP140L
IKZF1,SPZ1
IKZF1,TBX3
IKZF1,ZNF214
IKZF1,TFAP2B
IKZF1,SRY
IKZF1,NR1H4
IKZF1,TLX1
IKZF1,WT1
IKZF1,PAX8
IKZF1,POU6F1
IKZF1,SOX4
IKZF1,ZNF397
IKZF1,TCF24
IKZF1,ZNF365
IKZF1,PLSCR1
IKZF1,POU5F2
IKZF1,ZNF852
IKZF1,ZNF578
IKZF1,PAX8
IKZF1,ZNF556
IKZF1,RORA
IKZF1,NR5A2
IKZF1,TFAP2C
IKZF1,ZFP42
IKZF1,NKX1-1
IKZF1,RARB
IKZF1,SP100
IKZF1,ZNF595
IKZF1,ZNF585B
IKZF1,SPIC
IKZF1,KMT2B
IKZF1,TP63
IKZF1,TP63
IKZF1,RFX6
IKZF1,ZSCAN4
TBX1,USF3
TBX1,TCF21
TBX1,TBX22
TBX1,ZNF215
TBX1,ZNF560
TBX1,ZNF750
TBX1,TEF
TBX1,ZNF518B
TBX1,ZBTB10
TBX1,ZNF28
TBX1,VENTX
TBX1,ZNF181
TBX1,ZNF579
TBX1,ZFP57
TBX1,ZNF800
TBX1,TFAP2A
TBX1,ZIM3
TBX1,ZBED2
TBX1,ZNF625
TBX1,TBX3
TBX1,TP63
TBX1,ZNF280A
TBX1,ZSCAN12
TBX1,ZKSCAN3
TBX1,TBX18
TBX1,ZNF672
